model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
VCT_125,VCT,cold,-40.0,0.9,0.9,6.10140136198368,1.87302e-06,1.02051e-15,72.84261442582269,480494.5890970439,301625.76286182523,9.18611e-20,3.32207e-12,1.02051e-15,7.12829624705415e-18,20389697053486.188,9.60989178194088e-09,0.2834750000000001,6e-08,28720.0
3D_gaa_Si,3D_GAA,cold,-40.0,0.75,0.75,5.892566817842164,1.82796e-06,1.20265e-16,3.784560213569765,410286.7083517962,288413.83924966253,1.61078e-17,3.40735e-12,1.20265e-16,3.739708435796249e-17,113482908901.27763,8.205734167035925e-09,0.2484814049586776,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,cold,-40.0,0.75,0.75,8.458755272524456,3.99605e-06,3.37464e-13,8.301473989923203,187682.5212519175,137976.7095314311,4.15175e-18,7.35905e-12,3.37464e-13,2.664372382010625e-17,962497741916.0596,3.7536504250383505e-09,93.74,6e-08,5000.0
BCAT_125,BCAT,hot,85.0,0.85,0.85,9.304887067257674,6.18955e-07,2.20461e-13,6.137033420090793,1373255.7632313194,987697.9317605308,1.14773e-17,1.14881e-12,2.20461e-13,1.6492266334364125e-17,53928624328.02141,2.7465115264626392e-08,124.9778911564626,4.2e-08,1910.0
VCT_082,VCT,hot,85.0,0.9,0.9,9.42859360629826,2.05456e-06,2.13905e-12,95.30887629773488,438032.9400770938,279375.56457145343,1.07407e-19,3.60129e-12,2.13905e-12,7.066690675503753e-18,19128734626234.79,8.760658801541877e-09,594.1805555555557,6e-08,25420.0
VCT_091,VCT,hot,85.0,0.9,0.9,9.423018814250051,2.16384e-06,2.23381e-12,95.54306420610251,415911.8636548487,265059.0345371922,1.00836e-19,3.7906800000000006e-12,2.23381e-12,7.068663205963202e-18,21459002737117.7,8.318237273096975e-09,620.502777777778,6e-08,26820.0
VCT_102,VCT,hot,85.0,0.9,0.9,9.416097012192337,2.31012e-06,2.35992e-12,95.84314022611623,389574.9737036892,248033.64438589627,9.361079999999999e-20,4.044e-12,2.35992e-12,7.070842404277201e-18,24677921778256.35,7.791499474073786e-09,655.5333333333334,6e-08,28720.0
VCT_125,VCT,hot,85.0,0.9,0.9,10.175341287776956,3.09532e-06,9.30083e-12,95.32370279126906,290755.90072947426,200806.34905052063,9.68984e-20,5.50386e-12,9.30083e-12,7.23963373811685e-18,31943974307109.3,5.815118014589486e-09,2583.5638888888893,6e-08,28720.0
3D_gaa_Si,3D_GAA,hot,85.0,0.75,0.75,9.33138711103854,1.83948e-06,6.83539e-13,6.036885646585703,407717.2725345336,291718.6898330202,1.62648e-17,3.41457e-12,6.83539e-13,3.628954638253124e-17,113095765087.79697,8.154345450690674e-09,1412.2706611570247,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,hot,85.0,0.75,0.75,13.786330338757004,4.87907e-06,2.22122e-10,0.0,153714.98372670705,114920.51331162611,4.12645e-18,8.88078e-12,2.22122e-10,2.5977864066581247e-17,1182389220758.7637,3.0742996745341413e-09,61700.55555555557,6e-08,5000.0
BCAT_125,BCAT,ss_125,125.0,0.765,0.765,10.670452582834454,4.91454e-07,1.17062e-12,7.866004575542651,1556564.326801189,1086445.5619763937,1.05031e-17,9.10374e-13,1.17062e-12,1.2042242463595725e-17,46791328274.50943,3.1131286536023785e-08,663.6167800453514,4.2e-08,1910.0
VCT_082,VCT,ss_125,125.0,0.81,0.81,11.044107706741238,1.58623e-06,1.17325e-11,103.54780295037752,510615.7647889455,310964.37346437346,1.04977e-19,2.73663e-12,1.17325e-11,5.632273986082559e-18,15110262247920.973,1.0212315295778913e-08,3259.0277777777783,6e-08,25420.0
VCT_091,VCT,ss_125,125.0,0.81,0.81,11.036290896863544,1.66912e-06,1.22371e-11,103.81733868305218,485256.5869088557,295180.89851607825,9.848359999999999e-20,2.8774700000000007e-12,1.22371e-11,5.6334525653012865e-18,16948202543367.623,9.705131738177114e-09,3399.194444444445,6e-08,26820.0
VCT_102,VCT,ss_125,125.0,0.81,0.81,11.026574661991084,1.77984e-06,1.29067e-11,104.16415424547787,455068.9626113093,276422.2093301027,9.135579999999999e-20,3.06536e-12,1.29067e-11,5.6347373604497855e-18,19482506857802.133,9.101379252226189e-09,3585.1944444444453,6e-08,28720.0
VCT_125,VCT,ss_125,125.0,0.81,0.81,11.876173637055974,2.53096e-06,4.47922e-11,103.55802975676728,320026.550350844,214929.36518887253,9.586679999999999e-20,4.45322e-12,4.47922e-11,5.776874510099895e-18,26400797773577.508,6.40053100701688e-09,12442.27777777778,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss_125,125.0,0.675,0.675,10.70426729851297,1.44669e-06,3.58981e-12,7.736884295702833,466566.2109293999,322571.39580227097,1.43683e-17,2.68006e-12,3.58981e-12,2.5765050328964998e-17,100686232887.67632,9.331324218588e-09,7416.962809917356,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss_125,125.0,0.675,0.675,16.039492477920774,3.90615e-06,7.20868e-10,0.0,172800.0,126799.37708631938,3.88858e-18,7.07332e-12,7.20868e-10,2.0034820985776876e-17,1004518358886.7916,3.456e-09,200241.11111111115,6e-08,5000.0
