model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
VCT_091,VCT,ss,27.0,0.81,0.81,10.60453278501988,5.96071891e-07,3.09191743e-12,132.4319207467692,1358896.49,754071.47,1.1728166699999998e-17,9.35642168e-13,3.09191743e-12,6.542845189999999e-18,50823961344.273865,2.7177929800000004e-08,858.8659527777779,6e-08,26820.0
VCT_102,VCT,ss,27.0,0.81,0.81,10.594515935459516,6.32152413e-07,3.24165341e-12,133.15381598235746,1281336.56,709595.624,1.1740263099999999e-17,9.89289974e-13,3.24165341e-12,6.53958943e-18,53844825078.92008,2.5626731200000005e-08,900.4592805555558,6e-08,28720.0
VCT_125,VCT,ss,27.0,0.81,0.81,11.06496250589838,9.4422158e-07,8.73673463e-12,130.95853314020218,857849.489,532363.722,1.2145945599999998e-17,1.55060925e-12,8.73673463e-12,6.6696278e-18,77739651657.9162,1.7156989780000003e-08,2426.870730555556,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss,27.0,0.675,0.675,7.627440214209696,7.33554264e-07,9.9691925e-15,6.868326593828727,920177.325,595397.51,1.57451274e-16,1.34089928e-12,9.9691925e-15,2.3201144899999998e-17,4658928729.912976,1.8403546500000003e-08,20.597505165289256,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss,27.0,0.675,0.675,14.18353127407657,1.35806179e-06,8.2192439e-11,20.13373953770764,497031.876,331040.559,6.810518559999999e-17,2.38790119e-12,8.2192439e-11,1.75236278e-17,19940651773.21828,9.94063752e-09,22831.23305555556,6e-08,5000.0
BCAT_125,BCAT,cold,-40.0,0.85,0.85,7.388933867448717,2.76153885e-07,2.0906881e-15,6.532084818883036,3077994.0,2068022.41,4.9130528199999995e-17,5.02855441e-13,2.0906881e-15,1.39972243e-17,5620820600.092795,6.155988e-08,1.1851973356009071,4.2e-08,1910.0
VCT_082,VCT,cold,-40.0,0.9,0.9,8.308045890822887,6.15776964e-07,1.1361463e-13,113.52449263436333,1461568.15,819309.696,1.2128878799999999e-17,9.95806108e-13,1.1361463e-13,8.14508821e-18,50769487778.21079,2.9231363000000002e-08,31.559619444444447,6e-08,25420.0
VCT_091,VCT,cold,-40.0,0.9,0.9,8.303660993713018,6.46464958e-07,1.18428562e-13,113.99339287156172,1392186.83,779361.67,1.21413065e-17,1.04377695e-12,1.18428562e-13,8.142525189999999e-18,53245090056.82379,2.784373660000001e-08,32.896822777777786,6e-08,26820.0
VCT_102,VCT,cold,-40.0,0.9,0.9,8.297981355254043,6.87431155e-07,1.24771262e-13,114.6010102273752,1309222.01,731634.699,1.21539905e-17,1.10756919e-12,1.24771262e-13,8.139089419999999e-18,56560119493.26437,2.6184440200000006e-08,34.658683888888895,6e-08,28720.0
VCT_125,VCT,cold,-40.0,0.9,0.9,8.638551124708306,9.89201202e-07,3.575763e-13,112.41254360485138,909825.017,568462.643,1.2480670099999998e-17,1.65496909e-12,3.575763e-13,8.301931139999999e-18,79258661119.48587,1.819650034e-08,99.32675000000002,6e-08,28720.0
3D_gaa_Si,3D_GAA,cold,-40.0,0.75,0.75,5.743083582390418,1.03987638e-06,3.71049075e-17,4.838227085885105,721239.575,487810.234,1.73779803e-16,1.89882964e-12,3.71049075e-17,3.35572226e-17,5983873626.557167,1.44247915e-08,0.0766630320247934,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,cold,-40.0,0.75,0.75,11.495977459793266,1.67567029e-06,1.06987249e-11,17.022719668754462,447582.084,303768.733,7.414090379999999e-17,2.9742832e-12,1.06987249e-11,2.2814273199999997e-17,22601158120.76194,8.951641680000002e-09,2971.8680277777785,6e-08,5000.0
BCAT_125,BCAT,hot,85.0,0.85,0.85,10.367570656694816,3.40540928e-07,5.52908279e-13,8.894929893350566,2496028.91,1719167.6,4.54860185e-17,6.17267322e-13,5.52908279e-13,1.3560498299999999e-17,7486716561.046116,4.9920578200000015e-08,313.4400674603175,4.2e-08,1910.0
VCT_082,VCT,hot,85.0,0.9,0.9,12.170980899813069,1.24356184e-06,3.61035897e-11,144.71130875526003,723727.577,471428.413,1.2160936699999999e-17,2.05346395e-12,3.61035897e-11,8.25145368e-18,102258721567.0648,1.4474551540000004e-08,10028.774916666667,6e-08,25420.0
VCT_091,VCT,hot,85.0,0.9,0.9,12.15675416905221,1.30439638e-06,3.74221265e-11,145.29043309977743,689974.318,448688.389,1.2178329199999998e-17,2.15076761e-12,3.74221265e-11,8.24817095e-18,107107991464.05077,1.3799486360000002e-08,10395.035138888892,6e-08,26820.0
VCT_102,VCT,hot,85.0,0.9,0.9,12.138555515529749,1.38512413e-06,3.91374181e-11,146.03772479184238,649761.261,421620.52,1.2196510099999998e-17,2.2794239e-12,3.91374181e-11,8.24781449e-18,113567251504.18233,1.2995225220000004e-08,10871.50502777778,6e-08,28720.0
VCT_125,VCT,hot,85.0,0.9,0.9,12.878543660579965,1.81503485e-06,9.9157159e-11,144.0816358325787,495858.247,343627.717,1.2411665799999999e-17,3.05950905e-12,9.9157159e-11,8.42649421e-18,146236200623.44894,9.91716494e-09,27543.655277777783,6e-08,28720.0
3D_gaa_Si,3D_GAA,hot,85.0,0.75,0.75,9.051445392495673,1.09787652e-06,2.57601778e-13,7.439030061894725,683136.936,473205.24,1.59997722e-16,2.00074175e-12,2.57601778e-13,3.21736157e-17,6861825945.246896,1.3662738720000002e-08,532.2350785123967,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,hot,85.0,0.75,0.75,15.845470321306776,2.03894376e-06,3.39209624e-10,0.0,367837.512,256035.454,6.820869509999999e-17,3.54207889e-12,3.39209624e-10,2.2628333199999997e-17,29892724923.27741,7.356750240000001e-09,94224.89555555556,6e-08,5000.0
BCAT_125,BCAT,ss_125,125.0,0.765,0.765,11.664050167107831,2.63319571e-07,1.87797911e-12,10.749548767634332,2905215.12,1931221.49,4.2035956899999996e-17,4.76909827e-13,1.87797911e-12,9.78880524e-18,6264150751.377328,5.810430240000001e-08,1064.614007936508,4.2e-08,1910.0
VCT_082,VCT,ss_125,125.0,0.81,0.81,13.961283969955929,1.01372997e-06,1.07206224e-10,144.99955506758909,799029.354,508159.491,1.1853580599999998e-17,1.63974622e-12,1.07206224e-10,6.61903068e-18,85520991859.62425,1.5980587080000002e-08,29779.50666666667,6e-08,25420.0
VCT_091,VCT,ss_125,125.0,0.81,0.81,13.943372890249274,1.06132714e-06,1.10902182e-10,139.88524371795052,763195.412,484446.055,1.1870314099999999e-17,1.71337767e-12,1.10902182e-10,6.61427074e-18,89410198505.19373,1.5263908240000003e-08,30806.161666666678,6e-08,26820.0
VCT_102,VCT,ss_125,125.0,0.81,0.81,13.920633024350415,1.12417828e-06,1.15687825e-10,133.53704779440855,720526.287,456239.015,1.1887473299999998e-17,1.8101268e-12,1.15687825e-10,6.61273961e-18,94568311669.73051,1.4410525740000004e-08,32135.50694444445,6e-08,28720.0
VCT_125,VCT,ss_125,125.0,0.81,0.81,14.76735488046542,1.53690965e-06,2.83040622e-10,0.0,527031.631,359336.212,1.2165225499999998e-17,2.55406225e-12,2.83040622e-10,6.76380992e-18,126336305890.91832,1.0540632620000005e-08,78622.39500000002,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss_125,125.0,0.675,0.675,10.386963812999705,8.51928836e-07,1.42176502e-12,9.19185296732064,792319.7,527715.706,1.46811426e-16,1.55288497e-12,1.42176502e-12,2.2761069499999997e-17,5802878285.508923,1.5846394e-08,2937.531033057852,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss_125,125.0,0.675,0.675,18.01736308049861,1.57141849e-06,7.35526473e-10,0.0,429548.211,295340.375,6.4264996e-17,2.7104059e-12,7.35526473e-10,1.75937599e-17,24452168175.658176,8.590964220000002e-09,204312.9091666667,6e-08,5000.0
