model_id,ccell_ff,vbl_pre_fraction,gain,sigma_os_mv,t_en_ns,delta_v_bl_v,delta_v_bl_mv,yield_fraction,passes_target,t_en_min_ns,min_delta_v_mv
VCT_082,20.0,0.5,5.0,5.0,15.0,0.0206255843,20.6255843,1.0,True,8.0,13.290526731491894
VCT_082,20.0,0.5,5.0,10.0,5.0,0.00866013245,8.66013245,0.0,False,12.0,16.581053462983792
VCT_082,20.0,0.5,5.0,10.0,8.0,0.01392031,13.92031,0.9500223236445829,False,12.0,16.581053462983792
VCT_082,20.0,0.5,5.0,10.0,10.0,0.0163988113,16.3988113,0.998622887461993,False,12.0,16.581053462983792
VCT_082,20.0,0.5,5.0,10.0,12.0,0.0183492752,18.3492752,0.9999701539218417,True,12.0,16.581053462983792
VCT_082,20.0,0.5,5.0,10.0,15.0,0.0206255843,20.6255843,0.9999998920418488,True,12.0,16.581053462983792
VCT_082,20.0,0.5,5.0,15.0,5.0,0.00866013245,8.66013245,0.0,False,15.0,19.871580194475687
VCT_082,20.0,0.5,5.0,15.0,8.0,0.01392031,13.92031,0.8087091632305761,False,15.0,19.871580194475687
VCT_082,20.0,0.5,5.0,15.0,10.0,0.0163988113,16.3988113,0.9670701135892439,False,15.0,19.871580194475687
VCT_082,20.0,0.5,5.0,15.0,12.0,0.0183492752,18.3492752,0.9946156419904371,False,15.0,19.871580194475687
VCT_082,20.0,0.5,5.0,15.0,15.0,0.0206255843,20.6255843,0.9996026858714808,True,15.0,19.871580194475687
VCT_082,20.0,0.5,5.0,20.0,5.0,0.00866013245,8.66013245,0.0,False,,23.162106925967578
VCT_082,20.0,0.5,5.0,20.0,8.0,0.01392031,13.92031,0.6729521353629,False,,23.162106925967578
VCT_082,20.0,0.5,5.0,20.0,10.0,0.0163988113,16.3988113,0.8903354751280792,False,,23.162106925967578
VCT_082,20.0,0.5,5.0,20.0,12.0,0.0183492752,18.3492752,0.9631406735197723,False,,23.162106925967578
VCT_082,20.0,0.5,5.0,20.0,15.0,0.0206255843,20.6255843,0.9921019209440927,False,,23.162106925967578
VCT_082,20.0,0.5,10.0,5.0,5.0,0.00866013245,8.66013245,0.9999999999997525,True,5.0,6.645263365745947
VCT_082,20.0,0.5,10.0,5.0,8.0,0.01392031,13.92031,1.0,True,5.0,6.645263365745947
VCT_082,20.0,0.5,10.0,5.0,10.0,0.0163988113,16.3988113,1.0,True,5.0,6.645263365745947
VCT_082,20.0,0.5,10.0,5.0,12.0,0.0183492752,18.3492752,1.0,True,5.0,6.645263365745947
VCT_082,20.0,0.5,10.0,5.0,15.0,0.0206255843,20.6255843,1.0,True,5.0,6.645263365745947
VCT_082,20.0,0.5,10.0,10.0,5.0,0.00866013245,8.66013245,0.9997479150891612,True,5.0,8.290526731491896
VCT_082,20.0,0.5,10.0,10.0,8.0,0.01392031,13.92031,1.0,True,5.0,8.290526731491896
VCT_082,20.0,0.5,10.0,10.0,10.0,0.0163988113,16.3988113,1.0,True,5.0,8.290526731491896
VCT_082,20.0,0.5,10.0,10.0,12.0,0.0183492752,18.3492752,1.0,True,5.0,8.290526731491896
VCT_082,20.0,0.5,10.0,10.0,15.0,0.0206255843,20.6255843,1.0,True,5.0,8.290526731491896
VCT_082,20.0,0.5,10.0,15.0,5.0,0.00866013245,8.66013245,0.9853163276902147,False,8.0,9.935790097237843
VCT_082,20.0,0.5,10.0,15.0,8.0,0.01392031,13.92031,0.9999999972668726,True,8.0,9.935790097237843
VCT_082,20.0,0.5,10.0,15.0,10.0,0.0163988113,16.3988113,0.9999999999999702,True,8.0,9.935790097237843
VCT_082,20.0,0.5,10.0,15.0,12.0,0.0183492752,18.3492752,1.0,True,8.0,9.935790097237843
VCT_082,20.0,0.5,10.0,15.0,15.0,0.0206255843,20.6255843,1.0,True,8.0,9.935790097237843
VCT_082,20.0,0.5,10.0,20.0,5.0,0.00866013245,8.66013245,0.9327599633521466,False,8.0,11.581053462983789
VCT_082,20.0,0.5,10.0,20.0,8.0,0.01392031,13.92031,0.9999918099600784,True,8.0,11.581053462983789
VCT_082,20.0,0.5,10.0,20.0,10.0,0.0163988113,16.3988113,0.999999987977416,True,8.0,11.581053462983789
VCT_082,20.0,0.5,10.0,20.0,12.0,0.0183492752,18.3492752,0.9999999999752156,True,8.0,11.581053462983789
VCT_082,20.0,0.5,10.0,20.0,15.0,0.0206255843,20.6255843,0.9999999999999944,True,8.0,11.581053462983789
VCT_082,20.0,0.5,20.0,5.0,5.0,0.00866013245,8.66013245,1.0,True,5.0,3.3226316828729736
VCT_082,20.0,0.5,20.0,5.0,8.0,0.01392031,13.92031,1.0,True,5.0,3.3226316828729736
