model_id,architecture,corner,ccell_ff,temp_c,vdd,fpitch_m,t_ret_s,t_refresh_s,t_rcd_s,t_wr_s,e_read_j,e_write_j,i_leak_a,i_leak_density_a_m2,source,simulator
VCT_082,VCT,hot,30.0,85.0,0.9,6e-08,2.6576352943350314e-05,3.834157259628631e-05,1.0920046800000001e-08,-9.957414000000014e-11,6.119791821000001e-19,8.25145368e-18,5.64411529e-11,15678.09802777778,derived_from_golden_bench,
VCT_082,VCT,hot,50.0,85.0,0.9,6e-08,4.429392157225053e-05,6.390262099381052e-05,1.0920046800000001e-08,-9.957414000000014e-11,6.119791821000001e-19,8.25145368e-18,5.64411529e-11,15678.09802777778,derived_from_golden_bench,
VCT_091,VCT,hot,10.0,85.0,0.9,6e-08,8.868002244796428e-06,1.2793822861160001e-05,1.0922453e-08,-9.957416000000023e-11,5.881774176e-19,8.24817095e-18,5.63824846e-11,15661.801277777782,derived_from_golden_bench,
VCT_091,VCT,hot,15.0,85.0,0.9,6e-08,1.3302003367194641e-05,1.9190734291740003e-05,1.0922453e-08,-9.957416000000023e-11,5.881774176e-19,8.24817095e-18,5.63824846e-11,15661.801277777782,derived_from_golden_bench,
VCT_091,VCT,hot,20.0,85.0,0.9,6e-08,1.7736004489592855e-05,2.5587645722320002e-05,1.0922453e-08,-9.957416000000023e-11,5.881774176e-19,8.24817095e-18,5.63824846e-11,15661.801277777782,derived_from_golden_bench,
VCT_091,VCT,hot,30.0,85.0,0.9,6e-08,2.6604006734389283e-05,3.8381468583480005e-05,1.0922453e-08,-9.957416000000023e-11,5.881774176e-19,8.24817095e-18,5.63824846e-11,15661.801277777782,derived_from_golden_bench,
VCT_091,VCT,hot,50.0,85.0,0.9,6e-08,4.4340011223982144e-05,6.396911430580002e-05,1.0922453e-08,-9.957416000000023e-11,5.881774176e-19,8.24817095e-18,5.63824846e-11,15661.801277777782,derived_from_golden_bench,
VCT_102,VCT,hot,10.0,85.0,0.9,6e-08,8.88928607009209e-06,1.2824528930365201e-05,1.0924832200000001e-08,-9.957419000000016e-11,5.607804078000001e-19,8.24781449e-18,5.62474867e-11,15624.301861111115,derived_from_golden_bench,
VCT_102,VCT,hot,15.0,85.0,0.9,6e-08,1.3333929105138133e-05,1.9236793395547797e-05,1.0924832200000001e-08,-9.957419000000016e-11,5.607804078000001e-19,8.24781449e-18,5.62474867e-11,15624.301861111115,derived_from_golden_bench,
VCT_102,VCT,hot,20.0,85.0,0.9,6e-08,1.777857214018418e-05,2.5649057860730402e-05,1.0924832200000001e-08,-9.957419000000016e-11,5.607804078000001e-19,8.24781449e-18,5.62474867e-11,15624.301861111115,derived_from_golden_bench,
VCT_102,VCT,hot,30.0,85.0,0.9,6e-08,2.6667858210276266e-05,3.8473586791095595e-05,1.0924832200000001e-08,-9.957419000000016e-11,5.607804078000001e-19,8.24781449e-18,5.62474867e-11,15624.301861111115,derived_from_golden_bench,
VCT_102,VCT,hot,50.0,85.0,0.9,6e-08,4.444643035046045e-05,6.4122644651826e-05,1.0924832200000001e-08,-9.957419000000016e-11,5.607804078000001e-19,8.24781449e-18,5.62474867e-11,15624.301861111115,derived_from_golden_bench,
VCT_125,VCT,hot,10.0,85.0,0.9,6e-08,9.422151650390114e-06,1.3593291460521579e-05,1.0934103799999999e-08,-9.957539999999996e-11,1.2697839089999998e-19,8.42649421e-18,5.30664352e-11,14740.676444444447,derived_from_golden_bench,
VCT_125,VCT,hot,15.0,85.0,0.9,6e-08,1.413322747558517e-05,2.0389937190782368e-05,1.0934103799999999e-08,-9.957539999999996e-11,1.2697839089999998e-19,8.42649421e-18,5.30664352e-11,14740.676444444447,derived_from_golden_bench,
VCT_125,VCT,hot,20.0,85.0,0.9,6e-08,1.8844303300780227e-05,2.7186582921043158e-05,1.0934103799999999e-08,-9.957539999999996e-11,1.2697839089999998e-19,8.42649421e-18,5.30664352e-11,14740.676444444447,derived_from_golden_bench,
